ID, VUR, device
"49","0.5000", smartphone
"50","0.5000", smartphone
"52","1.0000", smartphone
"57","0.0000", smartphone
"59","0.0000", smartphone
"60","0.0000", smartphone
"64","0.5000", smartphone
"65","0.0000", smartphone
"67","0.5000", smartphone
"70","0.5000", smartphone
"71","0.0000", smartphone
"72","1.0000", smartphone
"75","0.0000", smartphone
"76","0.5000", smartphone
"78","1.0000", smartphone
"79","1.0000", smartphone
"81","0.5000", smartphone
"82","0.0000", smartphone
"84","0.0000", smartphone
"87","0.0000", smartphone
"90","0.0000", smartphone
"91","1.0000", smartphone
"92","0.5000", smartphone
"93","0.5000", smartphone
"96","0.0000", smartphone
"98","0.5000", smartphone
"100","0.5000", smartphone
"101","0.5000", smartphone
"103","0.0000", smartphone
"107","0.0000", smartphone
"108","1.0000", smartphone
"111","1.0000", smartphone
"115","0.5000", smartphone
"116","0.5000", smartphone
"118","0.0000", smartphone
"119","0.0000", smartphone
"120","0.5000", smartphone
"121","0.5000", smartphone
"126","0.5000", smartphone
"134","0.5000", smartphone
"137","1.0000", smartphone
"139","0.5000", smartphone
"142","0.5000", smartphone
"143","1.0000", smartphone
"144","0.0000", smartphone
"151","1.0000", smartphone
"159","1.0000", smartphone
"160","0.0000", smartphone
"165","1.0000", smartphone
"166","0.5000", smartphone
"170","0.0000", smartphone
"171","0.0000", smartphone
"174","0.5000", smartphone
"177","0.5000", smartphone
"182","0.0000", smartphone
"184","1.0000", smartphone
"186","0.0000", smartphone
"187","0.5000", smartphone
"188","0.5000", smartphone
"189","0.0000", smartphone
"190","1.0000", smartphone
"193","0.5000", smartphone
"194","1.0000", smartphone
"195","0.5000", smartphone
"196","1.0000", smartphone
"198","0.0000", smartphone
"199","0.5000", smartphone
"205","1.0000", smartphone
"208","1.0000", smartphone
"209","0.0000", smartphone
"210","1.0000", smartphone
"212","0.5000", smartphone
"213","0.0000", smartphone
"214","0.5000", smartphone
"215","0.5000", smartphone
"220","0.0000", smartphone
"222","0.5000", smartphone
"223","0.5000", smartphone
"225","0.0000", smartphone
"226","0.5000", smartphone
"229","1.0000", smartphone
"230","1.0000", smartphone
"231","0.5000", smartphone
"232","0.0000", smartphone
"234","0.0000", smartphone
"238","0.5000", smartphone
"239","0.5000", smartphone
"241","0.5000", smartphone
"242","1.0000", smartphone
"244","0.5000", smartphone
"247","0.0000", smartphone
"250","0.0000", smartphone
"252","1.0000", smartphone
"255","0.0000", smartphone
"256","1.0000", smartphone
"260","0.0000", smartphone
"263","0.5000", smartphone
"264","1.0000", smartphone
"265","0.5000", smartphone
"268","0.5000", smartphone
"269","0.0000", smartphone
"271","0.5000", smartphone
"272","0.0000", smartphone
"273","0.0000", smartphone
"274","1.0000", smartphone
"278","0.5000", smartphone
"279","0.0000", smartphone
"280","1.0000", smartphone
"281","0.0000", smartphone
"283","0.5000", smartphone
"284","0.5000", smartphone
"285","0.5000", smartphone
"286","0.5000", smartphone
"287","0.0000", smartphone
"288","0.5000", smartphone
"289","0.5000", smartphone
"292","0.0000", smartphone
"294","0.5000", smartphone
"295","0.5000", smartphone
"299","0.0000", smartphone
"300","0.0000", smartphone
"302","0.5000", smartphone
"304","0.5000", smartphone
"305","0.0000", smartphone
"306","1.0000", smartphone
"307","0.5000", smartphone
"308","0.5000", smartphone
"309","0.0000", smartphone
"310","0.5000", smartphone
"313","1.0000", smartphone
"315","0.0000", smartphone
"316","0.0000", smartphone
"317","0.0000", smartphone
"318","1.0000", smartphone
"319","1.0000", smartphone
"320","0.0000", smartphone
"321","0.0000", smartphone
"322","0.5000", smartphone
"324","0.5000", smartphone
"325","0.5000", smartphone
"326","0.5000", smartphone
"329","0.5000", smartphone
"330","0.5000", smartphone
"331","0.5000", smartphone
"332","0.0000", smartphone
"333","0.5000", smartphone
"334","0.0000", smartphone
"335","0.5000", smartphone
"336","0.5000", smartphone
"338","0.0000", smartphone
"340","0.5000", smartphone
"342","1.0000", smartphone
"343","0.5000", smartphone
"344","0.0000", smartphone
"346","0.0000", smartphone
"347","0.5000", smartphone
"348","1.0000", smartphone
"349","0.0000", smartphone
"353","0.5000", smartphone
"354","0.5000", smartphone
"355","0.0000", smartphone
"356","0.5000", smartphone
"357","1.0000", smartphone
"358","0.5000", smartphone
"359","1.0000", smartphone
"362","0.0000", smartphone
"363","1.0000", smartphone
"364","0.5000", smartphone
"366","0.5000", smartphone
"367","1.0000", smartphone
"368","1.0000", smartphone
"369","1.0000", smartphone
"370","0.5000", smartphone
"372","0.5000", smartphone
"373","0.5000", smartphone
