participantID, age, gender, education, IUIPC, ownership, data, device, recipient, likert
2070, 23, Male, Highschool, 48, No, " photos of people (with an outward-facing camera) at random ", cubetastic3000, public, 4 
2070, 23, Male, Highschool, 48, No, " photos of people (with an outward-facing camera) at random ", cubetastic3000, appserver, 1 
2070, 23, Male, Highschool, 48, No, " where you are (like a GPS) ", cubetastic3000, public, 3 
1987, 21, Female, Highschool, 50, No, "connected to a bluetooth device", smartphone, noone, 1 
1987, 21, Female, Highschool, 50, No, "took screenshots while using other apps", smartphone, noone, 4 
1987, 21, Female, Highschool, 50, No, " your fingerprint somehow ", cubetastic3000, appserver, 3 
1987, 21, Female, Highschool, 50, No, " when, how much, and what you are eating ", cubetastic3000, friends, 5 
1987, 21, Female, Highschool, 50, No, " a photo of you intoxicated ", cubetastic3000, appserver, 3 
1987, 21, Female, Highschool, 50, No, " shared videos you downloaded on the internet saved on your device ", cubetastic3000, appserver, 4 
1987, 21, Female, Highschool, 50, No, " videos of people (with an outward-facing camera) at random ", cubetastic3000, work, 4 
1987, 21, Female, Highschool, 50, No, " a video of you unclothed ", cubetastic3000, appserver, 5 
564, 24, Male, Bachelors, 70, No, "vibration", smartphone, noone, 5 
564, 24, Male, Bachelors, 70, No, "took screenshots while using other apps", smartphone, noone, 5 
564, 24, Male, Bachelors, 70, No, " your fingerprint somehow ", cubetastic3000, public, 5 
564, 24, Male, Bachelors, 70, No, " copied and uploaded audio recordings you made on your device ", cubetastic3000, appserver, 5 
564, 24, Male, Bachelors, 70, No, " recorded your passing conversations ", cubetastic3000, public, 5 
564, 24, Male, Bachelors, 70, No, " shared photos you which are already on your device ", cubetastic3000, public, 5 
564, 24, Male, Bachelors, 70, No, " a video of you intoxicated ", cubetastic3000, friends, 5 
564, 24, Male, Bachelors, 70, No, " your username and password for websites ", cubetastic3000, work, 5 
431, 32, Female, Masters, 53, No, "took screenshots while using other apps", smartphone, noone, 5 
431, 32, Female, Masters, 53, No, "sent premium texts or calls", smartphone, noone, 5 
